category,before,before_accuracy,after,after_accuracy
biology,422.0/0.0585,0.63,298/0.0825,0.859
business,485.0/0.0672,0.365,192/0.0532,0.641
chemistry,686.0/0.095,0.414,348/0.0964,0.667
computer science,250.0/0.0346,0.392,92/0.0255,0.739
economics,497.0/0.0688,0.489,290/0.0803,0.728
engineering,598.0/0.0828,0.415,280/0.0776,0.689
health,461.0/0.0639,0.514,294/0.0814,0.711
history,230.0/0.0319,0.439,152/0.0421,0.559
law,677.0/0.0938,0.312,279/0.0773,0.523
math,825.0/0.1143,0.314,282/0.0781,0.617
other,533.0/0.0738,0.36,267/0.074,0.581
philosophy,292.0/0.0404,0.445,180/0.0499,0.594
physics,790.0/0.1094,0.37,326/0.0903,0.699
psychology,473.0/0.0655,0.586,330/0.0914,0.776
