category,before,before_accuracy,after,after_accuracy
biology,422.0/0.0585,0.628,311/0.0861,0.804
business,485.0/0.0672,0.256,178/0.0493,0.522
chemistry,686.0/0.095,0.222,201/0.0557,0.448
computer science,250.0/0.0346,0.328,115/0.0319,0.53
economics,497.0/0.0688,0.439,313/0.0867,0.633
engineering,598.0/0.0828,0.284,217/0.0601,0.558
health,461.0/0.0639,0.486,332/0.092,0.633
history,230.0/0.0319,0.457,176/0.0488,0.54
law,677.0/0.0938,0.264,359/0.0994,0.376
math,825.0/0.1143,0.194,262/0.0726,0.37
other,533.0/0.0738,0.328,303/0.0839,0.505
philosophy,292.0/0.0404,0.336,209/0.0579,0.455
physics,790.0/0.1094,0.249,258/0.0715,0.508
psychology,473.0/0.0655,0.55,376/0.1042,0.662
