question,options,meta_info,answer
"A 40-year-old woman presents to her physician's home with a headache. She describes it as severe and states that her symptoms have not been improving despite her appointment yesterday at the office. Thus, she came to her physician's house on the weekend for help. The patient has been diagnosed with migraine headaches that have persisted for the past 6 months and states that her current symptoms feel like her previous headaches with a severity of 3/10. She has been prescribed multiple medications but is generally non-compliant with therapy. She is requesting an exam and urgent treatment for her symptoms. Which of the following is the best response from the physician?","[""It sounds to me like you are in a lot of pain. Let me see how I can help you."", ""Unfortunately, I cannot examine and treat you at this time. Please set up an appointment to see me in my office."", ""You should go to the emergency department for your symptoms rather than coming here."", ""Your symptoms seem severe. Let me perform a quick exam to see if everything is alright.""]",step2&3,B
"A 54-year-old woman comes to the physician because she has not had her menstrual period for the last 5 months. Menarche occurred at the age of 11 years, and menses occurred at regular 28-day intervals until they became irregular at 30- to 45-day intervals with light flow 2 years ago. She does not have vaginal dryness or decreased libido. She had four successful pregnancies and breastfed all her children until the age of 2 years. There is no personal or family history of serious illness. Except when she was pregnant, she has smoked one pack of cigarettes daily for 30 years. She does not drink alcohol. She is 167 cm (5 ft 5 in) tall and weighs 92 kg (203 lb); BMI is 33 kg/m2. Her vital signs are within normal limits. Physical examination shows no abnormalities. Which of the following best explains this patient's lack of symptoms other than amenorrhea?","[""Breastfeeding"", ""Obesity"", ""Smoking"", ""Multiparity""]",step2&3,B
A patient presents to the clinic with symptoms of dizziness on standing up. He says it started soon after he was diagnosed with hypertension and started taking treatment for it. He has no other medical history. The physician decides to switch to another antihypertensive that does not cause orthostatic hypotension. Which of the following should be the drug of choice for this patient?,"[""Methyldopa"", ""Clonidine"", ""Amlodipine"", ""Propanolol""]",step1,D
"A 4-year-old girl is brought to the emergency department with a persistent cough, fever, and vomiting. The past year the child has been admitted to the hospital 3 times with pneumonia. For the past 1 week, the child has been experiencing thick purulent cough and says that her chest feels ‘heavy’. Her stools have been loose and foul-smelling over the past week. Her parents are also concerned that she has not gained much weight due to her frequent hospital visits. She was born at 39 weeks gestation via spontaneous vaginal delivery and is up to date on all vaccines and is meeting all developmental milestones. On physical exam, the temperature is 39.1°C (102.4°F). She appears lethargic and uncomfortable. Crackles are heard in the lower lung bases, with dullness to percussion. A small nasal polyp is also present on inspection. Which of the following is the most likely cause for the girl’s symptoms?","[""Dysfunction in a transmembrane regulator"", ""Inefficient breakdown of leucine, isoleucine, and valine"", ""Dysfunction in the motility of respiratory cilia"", ""Deficiency in lymphocytic activity""]",step2&3,A
"A 45-year-old woman presents to the office with a complaint of generalized weakness that has been getting worse over the last few months. She says that she just does not have the energy for her daily activities. She gets winded quite easily when she takes her dog for a walk in the evening. She says that her mood is generally ok and she gets together with her friends every weekend. She works as a teacher at a local elementary school and used to have frequent headaches while at work. Her husband is a commercial pilot and is frequently away for extended periods of time. Her only son is a sophomore in college and visits her every other week. She has had issues in the past with hypertension, but her blood pressure is currently well-controlled because she is compliant with her medication. She is currently taking atorvastatin and lisinopril. The blood pressure is 130/80 mm Hg, the pulse is 90/min, the temperature is 36.7°C (98.0°F), and the respirations are 16/min. On examination, she appears slightly pale and lethargic. Her ECG today is normal and recent lab work shows the following:
Serum creatinine 1.5 mg/dL
Estimated GFR 37.6 mL/min
Hemoglobin (Hb%) 9 mg/dL
Mean corpuscular hemoglobin (MCH) 27 pg
Mean corpuscular hemoglobin concentration (MCHC) 36 g/dL
Mean corpuscular volume (MCV) 85 fL
Reticulocyte count 0.1%
Erythrocyte count 2.5 million/mm3
Serum iron 160 μg/dL
Serum ferritin 150 ng/mL
Total iron binding capacity 105 μg/dL
Serum vitamin B12 254 pg/mL
Serum folic acid 18 ng/mL
Thyroid stimulating hormone 3.5 μU/mL
Which of the following will most likely help her?","[""Start oral iron supplements."", ""Start her on fluoxetine."", ""Start her on erythropoietin."", ""Transfuse red blood cells.""]",step1,C
"A 44-year-old man presents to the family medicine clinic for some small bumps on his left thigh. The lesions are non-pruritic and have been present for the last 3 weeks. He reports feeling fatigued and malaise for the past few months. The patient has no known medical problems and takes no medications. He smokes one pack of cigarettes per day and uses intravenous street drugs. His heart rate is 82/min, the respiratory rate is 14/min, the temperature is 36.7°C (98.1°F), and the blood pressure is 126/80 mm Hg. Auscultation of the heart is without murmurs. Lungs are clear to auscultation bilaterally. Three 2-3 mm, dome-shaped, hardened papules are noted on the left thigh. Central umbilication can be observed in each papule. There is a non-tender cervical lymphadenopathy present. Which of the following is the most likely diagnosis?","[""Bed bug bite"", ""Molluscum contagiosum"", ""Atopic dermatitis"", ""Acute urticaria""]",step2&3,B
"A 68-year-old woman is brought to the emergency department by ambulance after she was found down by her daughter. She lives alone in her apartment so it is unclear when she began to develop symptoms. Her medical history is significant for cardiac arrhythmias, diabetes, pericarditis, and a stroke 2 years ago. On presentation her temperature is 98.1°F (36.7°C), blood pressure is 88/51 mmHg, pulse is 137/min, and respirations are 18/min. On physical exam her skin is cold and clammy. If special tests were obtained, they would reveal dramatically decreased pulmonary capillary wedge pressure, increased systemic vascular resistance, and mildly decreased cardiac output. Which of the following treatments would most directly target the cause of this patient's low blood pressure?","[""Antibiotic administration"", ""Intravenous fluids"", ""Relieve obstruction"", ""Vasopressors""]",step1,B
"An 18-month-old boy is brought to the physician because of walking difficulties. His mother says that he cannot walk unless he is supported. She has also noted orange, sandy residues in his diapers. Over the past year, she has frequently caught him pulling his toenails and chewing the tips of his fingers. Examination shows scarring of his fingertips. Muscle tone is decreased in the upper and lower extremities. He cannot pick up and hold small objects between the tips of the index finger and the thumb. The most appropriate pharmacotherapy for this patient's condition inhibits which of the following conversions?","[""Ornithine to citrulline"", ""Orotate to uridine monophosphate"", ""Adenosine to inosine"", ""Xanthine to urate\n\""""]",step1,D
"A 54-year-old woman presents for follow-up care for her type 2 diabetes mellitus. She was diagnosed approximately 2 years ago and was treated with dietary modifications, an exercise regimen, metformin, and glipizide. She reports that her increased thirst and urinary frequency has not improved with her current treatment regimen. Her hemoglobin A1c is 8.5% at this visit. She is started on a medication that will result in weight loss but places her at increased risk of developing urinary tract infections and vulvovaginal candidiasis. Which of the following is the mechanism of action of the prescribed medication?","[""Alpha-glucosidase inhibitor"", ""Dipeptidyl peptidase-4 inhibitor"", ""Peroxisome proliferator-activated receptor activator"", ""Sodium-glucose co-transporter-2 inhibitor""]",step1,D
"A 45-year-old woman comes to the physician because of fatigue, abdominal cramps, watery diarrhea, and a weight loss of 4 kg (8.8 lb) over the last 4 months. She has recently avoided drinking alcohol and eating spicy food because it worsens her diarrhea and causes episodes of heart palpitations and reddening of the face and neck. She takes lisinopril for hypertension. Her temperature is 36.5°C (97.7°F), pulse is 98/min, and blood pressure is 149/90 mm Hg. The abdomen is soft, and there is mild tenderness to palpation with no guarding or rebound. Laboratory studies show an increased urine 5-hydroxyindoleacetic acid concentration. Further evaluation of this patient will most likely show which of the following?","[""Achlorhydria"", ""Adrenal medullary mass"", ""Multiple peptic ulcers"", ""Pulmonic valve stenosis""]",step1,D
"A 13-year-old boy is brought to the emergency room by his mother for a generalized tonic-clonic seizure that occurred while attending a laser light show. His mother says that he has been otherwise healthy but “he often daydreams”. Over the past several months, he has reported recurrent episodes of jerky movements of his fingers and arms. These episodes usually occurred shortly after waking up in the morning. He has not lost consciousness during these episodes. Which of the following is the most appropriate treatment for this patient's condition?","[""Carbamazepine"", ""Tiagabine"", ""Valproate"", ""Vigabatrin""]",step1,C
"A 14-year-old male is brought to your psychiatric clinic after he was caught stealing his peers’ belongings multiple times by his teacher. He is a straight-A student with many friends and is an outstanding football player. He describes his family as very loving and gets along with his older siblings. He also states that he has no ill will towards anyone he stole from in class. Although never caught, he admits that he would often steal things in stores or locker rooms when no one was looking in order to satisfy an intense impulse. Which of the following is the best diagnosis for this patient?","[""Manic episode"", ""Conduct disorder"", ""Kleptomania"", ""Schizophrenia""]",step1,C
"A 54-year-old male carpenter accidentally amputated his right thumb while working in his workshop 30 minutes ago. He reports that he was cutting a piece of wood, and his hand became caught up in the machinery. He is calling the emergency physician for advice on how to transport his thumb and if it is necessary. Which of the following is the best information for this patient?","[""Place thumb in cup of cold milk"", ""Wrap thumb in sterile gauze and submerge in a cup of saline"", ""Wrap thumb in saline-moistened, sterile gauze and place in sterile bag"", ""There is no need to save the thumb""]",step2&3,C
"A 50-year-old man is brought to the emergency department by his wife with acute onset confusion, disorientation, and agitation. The patient's wife reports that he has diabetic gastroparesis for which he takes domperidone in 3 divided doses every day. He also takes insulin glargine and insulin lispro for management of type 1 diabetes mellitus and telmisartan for control of hypertension. Today, she says the patient forgot to take his morning dose of domperidone to work and instead took 4 tablets of scopolamine provided to him by a coworker. Upon returning home after 4 hours, he complained of dizziness and became increasingly drowsy and confused. His temperature is 38.9°C (102.0°F), pulse rate is 112 /min, blood pressure is 140/96 mm Hg, and respiratory rate is 20/min. On physical examination, the skin is dry. Pupils are dilated. There are myoclonic jerks of the jaw present. Which of the following is the most likely cause of this patient’s symptoms?","[""Scopolamine overdose"", ""Domperidone overdose"", ""Heatstroke"", ""Diabetic ketoacidosis""]",step1,A
