task_id,question,answer,test_list,test_setup_code,challenge_test_list
929,Write a function to count repeated items of a tuple.,"def count_tuplex(tuplex,value):  
  count = tuplex.count(value)
  return count","[""assert count_tuplex((2, 4, 5, 6, 2, 3, 4, 4, 7),4)==3"", ""assert count_tuplex((2, 4, 5, 6, 2, 3, 4, 4, 7),2)==2"", ""assert count_tuplex((2, 4, 7, 7, 7, 3, 4, 4, 7),7)==4""]",,[]
603,Write a function to get a lucid number smaller than or equal to n.,"def get_ludic(n):
	ludics = []
	for i in range(1, n + 1):
		ludics.append(i)
	index = 1
	while(index != len(ludics)):
		first_ludic = ludics[index]
		remove_index = index + first_ludic
		while(remove_index < len(ludics)):
			ludics.remove(ludics[remove_index])
			remove_index = remove_index + first_ludic - 1
		index += 1
	return ludics","[""assert get_ludic(10) == [1, 2, 3, 5, 7]"", ""assert get_ludic(25) == [1, 2, 3, 5, 7, 11, 13, 17, 23, 25]"", ""assert get_ludic(45) == [1, 2, 3, 5, 7, 11, 13, 17, 23, 25, 29, 37, 41, 43]""]",,[]
851,Write a python function to find sum of inverse of divisors.,"def Sum_of_Inverse_Divisors(N,Sum): 
    ans = float(Sum)*1.0 /float(N);  
    return round(ans,2); ","[""assert Sum_of_Inverse_Divisors(6,12) == 2"", ""assert Sum_of_Inverse_Divisors(9,13) == 1.44"", ""assert Sum_of_Inverse_Divisors(1,4) == 4""]",,[]
857,Write a function to list out the list of given strings individually using map function.,"def listify_list(list1):
  result = list(map(list,list1)) 
  return result ","[""assert listify_list(['Red', 'Blue', 'Black', 'White', 'Pink'])==[['R', 'e', 'd'], ['B', 'l', 'u', 'e'], ['B', 'l', 'a', 'c', 'k'], ['W', 'h', 'i', 't', 'e'], ['P', 'i', 'n', 'k']]"", ""assert listify_list(['python'])==[['p', 'y', 't', 'h', 'o', 'n']]"", ""assert listify_list([' red ', 'green',' black', 'blue ',' orange', 'brown'])==[[' ', 'r', 'e', 'd', ' '], ['g', 'r', 'e', 'e', 'n'], [' ', 'b', 'l', 'a', 'c', 'k'], ['b', 'l', 'u', 'e', ' '], [' ', 'o', 'r', 'a', 'n', 'g', 'e'], ['b', 'r', 'o', 'w', 'n']]""]",,[]
697,Write a function to find number of even elements in the given list using lambda function.,"def count_even(array_nums):
   count_even = len(list(filter(lambda x: (x%2 == 0) , array_nums)))
   return count_even","[""assert count_even([1, 2, 3, 5, 7, 8, 9, 10])==3"", ""assert count_even([10,15,14,13,-18,12,-20])==5"", ""assert count_even([1, 2, 4, 8, 9])==3""]",,[]
937,Write a function to count the most common character in a given string.,"from collections import Counter 
def max_char(str1):
    temp = Counter(str1) 
    max_char = max(temp, key = temp.get)
    return max_char","[""assert max_char(\""hello world\"")==('l')"", ""assert max_char(\""hello \"")==('l')"", ""assert max_char(\""python pr\"")==('p')""]",,[]
662,Write a function to sort a list in a dictionary.,"def sorted_dict(dict1):
  sorted_dict = {x: sorted(y) for x, y in dict1.items()}
  return sorted_dict","[""assert sorted_dict({'n1': [2, 3, 1], 'n2': [5, 1, 2], 'n3': [3, 2, 4]})=={'n1': [1, 2, 3], 'n2': [1, 2, 5], 'n3': [2, 3, 4]}"", ""assert sorted_dict({'n1': [25,37,41], 'n2': [41,54,63], 'n3': [29,38,93]})=={'n1': [25, 37, 41], 'n2': [41, 54, 63], 'n3': [29, 38, 93]}"", ""assert sorted_dict({'n1': [58,44,56], 'n2': [91,34,58], 'n3': [100,200,300]})=={'n1': [44, 56, 58], 'n2': [34, 58, 91], 'n3': [100, 200, 300]}""]",,[]
646,Write a python function to count number of cubes of size k in a cube of size n.,"def No_of_cubes(N,K):
    No = 0
    No = (N - K + 1)
    No = pow(No, 3)
    return No","[""assert No_of_cubes(2,1) == 8"", ""assert No_of_cubes(5,2) == 64"", ""assert No_of_cubes(1,1) == 1""]",,[]
601,Write a function to find the longest chain which can be formed from the given set of pairs.,"class Pair(object): 
	def __init__(self, a, b): 
		self.a = a 
		self.b = b 
def max_chain_length(arr, n): 
	max = 0
	mcl = [1 for i in range(n)] 
	for i in range(1, n): 
		for j in range(0, i): 
			if (arr[i].a > arr[j].b and
				mcl[i] < mcl[j] + 1): 
				mcl[i] = mcl[j] + 1
	for i in range(n): 
		if (max < mcl[i]): 
			max = mcl[i] 
	return max","[""assert max_chain_length([Pair(5, 24), Pair(15, 25),Pair(27, 40), Pair(50, 60)], 4) == 3"", ""assert max_chain_length([Pair(1, 2), Pair(3, 4),Pair(5, 6), Pair(7, 8)], 4) == 4"", ""assert max_chain_length([Pair(19, 10), Pair(11, 12),Pair(13, 14), Pair(15, 16), Pair(31, 54)], 5) == 5""]",,[]
908,Write a function to find the fixed point in the given array.,"def find_fixed_point(arr, n): 
	for i in range(n): 
		if arr[i] is i: 
			return i 
	return -1","[""assert find_fixed_point([-10, -1, 0, 3, 10, 11, 30, 50, 100],9) == 3"", ""assert find_fixed_point([1, 2, 3, 4, 5, 6, 7, 8],8) == -1"", ""assert find_fixed_point([0, 2, 5, 8, 17],5) == 0""]",,[]
829,Write a function to find out the second most repeated (or frequent) string in the given sequence.,"from collections import Counter 
	
def second_frequent(input): 
	dict = Counter(input) 
	value = sorted(dict.values(), reverse=True)  
	second_large = value[1] 
	for (key, val) in dict.items(): 
		if val == second_large: 
			return (key) ","[""assert second_frequent(['aaa','bbb','ccc','bbb','aaa','aaa']) == 'bbb'"", ""assert second_frequent(['abc','bcd','abc','bcd','bcd','bcd']) == 'abc'"", ""assert second_frequent(['cdma','gsm','hspa','gsm','cdma','cdma']) == 'gsm'""]",,[]
772,Write a function to remove all the words with k length in the given string.,"def remove_length(test_str, K):
  temp = test_str.split()
  res = [ele for ele in temp if len(ele) != K]
  res = ' '.join(res)
  return (res) ","[""assert remove_length('The person is most value tet', 3) == 'person is most value'"", ""assert remove_length('If you told me about this ok', 4) == 'If you me about ok'"", ""assert remove_length('Forces of darkeness is come into the play', 4) == 'Forces of darkeness is the'""]",,[]
835,Write a python function to find the slope of a line.,"def slope(x1,y1,x2,y2): 
    return (float)(y2-y1)/(x2-x1)  ","[""assert slope(4,2,2,5) == -1.5"", ""assert slope(2,4,4,6) == 1"", ""assert slope(1,2,4,2) == 0""]",,[]
953,Write a python function to find the minimun number of subsets with distinct elements.,"def subset(ar, n): 
    res = 0
    ar.sort() 
    for i in range(0, n) : 
        count = 1
        for i in range(n - 1): 
            if ar[i] == ar[i + 1]: 
                count+=1
            else: 
                break 
        res = max(res, count)  
    return res ","[""assert subset([1, 2, 3, 4],4) == 1"", ""assert subset([5, 6, 9, 3, 4, 3, 4],7) == 2"", ""assert subset([1, 2, 3 ],3) == 1""]",,[]
890,Write a python function to find the index of an extra element present in one sorted array.,"def find_Extra(arr1,arr2,n) : 
    for i in range(0, n) : 
        if (arr1[i] != arr2[i]) : 
            return i 
    return n ","[""assert find_Extra([1,2,3,4],[1,2,3],3) == 3"", ""assert find_Extra([2,4,6,8,10],[2,4,6,8],4) == 4"", ""assert find_Extra([1,3,5,7,9,11],[1,3,5,7,9],5) == 5""]",,[]
839,Write a function to sort the tuples alphabetically by the first item of each tuple.,"def sort_tuple(tup): 
	n = len(tup) 
	for i in range(n): 
		for j in range(n-i-1): 
			if tup[j][0] > tup[j + 1][0]: 
				tup[j], tup[j + 1] = tup[j + 1], tup[j] 
	return tup","[""assert sort_tuple([(\""Amana\"", 28), (\""Zenat\"", 30), (\""Abhishek\"", 29),(\""Nikhil\"", 21), (\""B\"", \""C\"")]) == [('Abhishek', 29), ('Amana', 28), ('B', 'C'), ('Nikhil', 21), ('Zenat', 30)]"", ""assert sort_tuple([(\""aaaa\"", 28), (\""aa\"", 30), (\""bab\"", 29), (\""bb\"", 21), (\""csa\"", \""C\"")]) == [('aa', 30), ('aaaa', 28), ('bab', 29), ('bb', 21), ('csa', 'C')]"", ""assert sort_tuple([(\""Sarala\"", 28), (\""Ayesha\"", 30), (\""Suman\"", 29),(\""Sai\"", 21), (\""G\"", \""H\"")]) == [('Ayesha', 30), ('G', 'H'), ('Sai', 21), ('Sarala', 28), ('Suman', 29)]""]",,[]
716,Write a function to find the perimeter of a rombus.,"def rombus_perimeter(a):
  perimeter=4*a
  return perimeter","[""assert rombus_perimeter(10)==40"", ""assert rombus_perimeter(5)==20"", ""assert rombus_perimeter(4)==16""]",,[]
903,Write a python function to count the total unset bits from 1 to n.,"def count_Unset_Bits(n) :  
    cnt = 0;  
    for i in range(1,n + 1) : 
        temp = i;  
        while (temp) :  
            if (temp % 2 == 0) : 
                cnt += 1;  
            temp = temp // 2;  
    return cnt;  ","[""assert count_Unset_Bits(2) == 1"", ""assert count_Unset_Bits(5) == 4"", ""assert count_Unset_Bits(14) == 17""]",,[]
866,Write a function to check whether the given month name contains 31 days or not.,"def check_monthnumb(monthname2):
  if(monthname2==""January"" or monthname2==""March""or monthname2==""May"" or monthname2==""July"" or monthname2==""Augest"" or monthname2==""October"" or monthname2==""December""):
    return True
  else:
    return False","[""assert check_monthnumb(\""February\"")==False"", ""assert check_monthnumb(\""January\"")==True"", ""assert check_monthnumb(\""March\"")==True""]",,[]
924,Write a function to find maximum of two numbers.,"def max_of_two( x, y ):
    if x > y:
        return x
    return y","[""assert max_of_two(10,20)==20"", ""assert max_of_two(19,15)==19"", ""assert max_of_two(-10,-20)==-10""]",,[]
741,Write a python function to check whether all the characters are same or not.,"def all_Characters_Same(s) :
    n = len(s)
    for i in range(1,n) :
        if s[i] != s[0] :
            return False
    return True","[""assert all_Characters_Same(\""python\"") == False"", ""assert all_Characters_Same(\""aaa\"") == True"", ""assert all_Characters_Same(\""data\"") == False""]",,[]
889,Write a function to reverse each list in a given list of lists.,"def reverse_list_lists(lists):
    for l in lists:
        l.sort(reverse = True)
    return lists ","[""assert reverse_list_lists([[1, 2, 3, 4], [5, 6, 7, 8], [9, 10, 11, 12], [13, 14, 15, 16]])==[[4, 3, 2, 1], [8, 7, 6, 5], [12, 11, 10, 9], [16, 15, 14, 13]]"", ""assert reverse_list_lists([[1,2],[2,3],[3,4]])==[[2,1],[3,2],[4,3]]"", ""assert reverse_list_lists([[10,20],[30,40]])==[[20,10],[40,30]]""]",,[]
