question_id,question,options,answer,answer_index,cot_content,category,src,label,option_description
10651,"Consider the following assumptions about electronic storage for the text in all the books of a university's libraries. - The libraries at the university collectively contain 3 million books. - A book contains an average of 400 pages. - A page contains an average of 50 lines. - A line on a page contains an average of 10 words. - A word contains an average of 5 letters/characters. - A letter/character is represented by 1 byte. Based on the given assumptions, which of the following is the unit in which the electronic storage required for the text in all the books of the university's libraries would best be measured?","['Kilobyte (2^10 or approximately 10^3 bytes)'
 'Petabyte ( 2^50 or approximately 10^15 bytes)'
 'Yottabyte (2^80 or approximately 10^24 bytes)'
 'Exabyte (2^60 or approximately 10^18 bytes)' 'Byte (1 byte)'
 'Bit (1/8 of a byte)' 'Zettabyte (2^70 or approximately 10^21 bytes)'
 'Terabyte ( 2^40 or approximately 10^12 bytes)'
 'Gigabyte ( 2^30 or approximately 10^9 bytes)'
 'Megabyte ( 2^20 or approximately 10^6 bytes)']",Answer: H,7,,computer science,ori_mmlu-high_school_computer_science,H,"A:Kilobyte (2^10 or approximately 10^3 bytes)
B:Petabyte ( 2^50 or approximately 10^15 bytes)
C:Yottabyte (2^80 or approximately 10^24 bytes)
D:Exabyte (2^60 or approximately 10^18 bytes)
E:Byte (1 byte)
F:Bit (1/8 of a byte)
G:Zettabyte (2^70 or approximately 10^21 bytes)
H:Terabyte ( 2^40 or approximately 10^12 bytes)
I:Gigabyte ( 2^30 or approximately 10^9 bytes)
J:Megabyte ( 2^20 or approximately 10^6 bytes)"
7342,When does subsidization instead of price stabilization of agricultureoccur?,"['Subsidization occurs when the price is high and the government sells.'
 'Subsidization occurs when the government grants tax exemptions to farmers during periods of high agricultural productivity.'
 'Subsidization happens when the free market price is low.'
 'Subsidization is applied when the government enforces a fixed price for agricultural products that is above the market rate.'
 'Subsidization happens when the government offers low-interest loans to farmers during times of high market volatility.'
 'Subsidization of agriculture occurs when the government buys when the price is de-pressed, but cannot sell overtly when the price is high.'
 'Subsidization happens when the government provides direct cash payments to farmers regardless of market prices.'
 'Subsidization occurs when the government encourages the export of agricultural products through financial incentives.'
 'Subsidization takes place when the government imposes tariffs on imported agricultural products to increase their prices.'
 ""Subsidization occurs when the agriculturists don't have strong political support.""]",Answer: F,5,,economics,stemez-Economics,F,"A:Subsidization occurs when the price is high and the government sells.
B:Subsidization occurs when the government grants tax exemptions to farmers during periods of high agricultural productivity.
C:Subsidization happens when the free market price is low.
D:Subsidization is applied when the government enforces a fixed price for agricultural products that is above the market rate.
E:Subsidization happens when the government offers low-interest loans to farmers during times of high market volatility.
F:Subsidization of agriculture occurs when the government buys when the price is de-pressed, but cannot sell overtly when the price is high.
G:Subsidization happens when the government provides direct cash payments to farmers regardless of market prices.
H:Subsidization occurs when the government encourages the export of agricultural products through financial incentives.
I:Subsidization takes place when the government imposes tariffs on imported agricultural products to increase their prices.
J:Subsidization occurs when the agriculturists don't have strong political support."
522,"From this information compute: a) The current ratio. b) The quick asset ratio. c) The net working capital. 1. Current Assets: Current Liabilities Cash $22,150 Accounts Payable $28,500 Marketable Securities 16,000 Notes Payable 20,000 Other Bills Payable 10,000 Accounts Receivable 30,450 Inventories 25,000 Total $93,600 Total $58,500","['Current ratio: 2.0, Quick asset ratio: 1.5, Net working capital: $45,000'
 'Current ratio: 1.6, Quick asset ratio: 1.05, Net working capital: $35,100'
 'Current ratio: 1.5, Quick asset ratio: 1.3, Net working capital: $33,100'
 'Current ratio: 1.8, Quick asset ratio: 1.4, Net working capital: $38,000'
 'Current ratio: 1.7, Quick asset ratio: 1.1, Net working capital: $40,100'
 'Current ratio: 1.7, Quick asset ratio: 1.25, Net working capital: $39,100'
 'Current ratio: 1.5, Quick asset ratio: 1.2, Net working capital: $30,100'
 'Current ratio: 1.3, Quick asset ratio: 0.9, Net working capital: $25,000'
 'Current ratio: 1.6, Quick asset ratio: 1.17, Net working capital: $35,100'
 'Current ratio: 1.6, Quick asset ratio: 1.2, Net working capital: $35,000']",Answer: I,8,,business,stemez-Business,I,"A:Current ratio: 2.0, Quick asset ratio: 1.5, Net working capital: $45,000
B:Current ratio: 1.6, Quick asset ratio: 1.05, Net working capital: $35,100
C:Current ratio: 1.5, Quick asset ratio: 1.3, Net working capital: $33,100
D:Current ratio: 1.8, Quick asset ratio: 1.4, Net working capital: $38,000
E:Current ratio: 1.7, Quick asset ratio: 1.1, Net working capital: $40,100
F:Current ratio: 1.7, Quick asset ratio: 1.25, Net working capital: $39,100
G:Current ratio: 1.5, Quick asset ratio: 1.2, Net working capital: $30,100
H:Current ratio: 1.3, Quick asset ratio: 0.9, Net working capital: $25,000
I:Current ratio: 1.6, Quick asset ratio: 1.17, Net working capital: $35,100
J:Current ratio: 1.6, Quick asset ratio: 1.2, Net working capital: $35,000"
10635,"Assume that a TLS connection has been established successfully between a client and a server. Establishing the session included checking the server certificate and executing a DiffieHelmann exchange, but the client did not provide a client certificate. Further, assume that the client and server are honest, that the client and server don’t leak their keys, and that the cryptography is good. Which of the following attacks does TLS protect against?
1. An attacker replaying bytes that a client sent earlier.
2. An attacker impersonating the server.","['True, True'
 'True for the first attack, but only if the server leaks its keys'
 'True, True for both attacks but only if the client provides a client certificate'
 'True for the first attack, False for the second attack'
 'False, False for both attacks' 'False, False'
 'False for the first attack, but True for the second attack if the cryptography is not good'
 'False, True' 'True, False'
 'False for the first attack, True for the second attack']",Answer: A,0,,computer science,ori_mmlu-computer_security,A,"A:True, True
B:True for the first attack, but only if the server leaks its keys
C:True, True for both attacks but only if the client provides a client certificate
D:True for the first attack, False for the second attack
E:False, False for both attacks
F:False, False
G:False for the first attack, but True for the second attack if the cryptography is not good
H:False, True
I:True, False
J:False for the first attack, True for the second attack"
11393,"Assuming constant field excitation, calculate the no-load voltage of a separately excited generator whose armature voltage is 150 V at a speed of 1800 rpm, when (a) The speed is increased to 2000 rpm. (b) The speed is reduced to 1600 rpm.","['175.5 V and 125.5 V' '200 V and 160 V' '165 V and 135 V'
 '210 V and 120 V' '166.7 V and 133.3 V' '158.3 V and 141.7 V'
 '190 V and 110 V' '150 V and 180 V' '145 V and 155 V'
 '183.3 V and 116.7 V']",Answer: E,4,,engineering,stemez-ElectricalMachines,E,"A:175.5 V and 125.5 V
B:200 V and 160 V
C:165 V and 135 V
D:210 V and 120 V
E:166.7 V and 133.3 V
F:158.3 V and 141.7 V
G:190 V and 110 V
H:150 V and 180 V
I:145 V and 155 V
J:183.3 V and 116.7 V"
3238,"What is meant by a gene pool, balanced polymorphism, and genetic load?","['Gene pool is the total number of organisms in a population; balanced polymorphism is a genetic imbalance; genetic load is the genetic weight of an organism.'
 'Gene pool refers to the physical pool where genes are stored; balanced polymorphism is the imbalance of allele frequencies; genetic load is the amount of genetic information carried by an organism.'
 'Gene pool is the sum total of genes in a population; balanced polymorphism is when different forms of a genotype are maintained in equilibrium over time; genetic load is the reduction in average fitness due to presence of suboptimal forms.'
 'Gene pool is the total genetic information in the gametes of a population; balanced polymorphism is the consistent occurrence of a single allele; genetic load is the genetic diversity within a species.'
 'Gene pool is the collection of genes in a single organism; balanced polymorphism is the variation of a single gene; genetic load is the number of genes in an organism.'
 'Gene pool refers to a single gene; balanced polymorphism refers to a dominance of one gene; genetic load refers to the genetic burden of an organism.'
 'Gene pool is the total number of alleles in a population; balanced polymorphism is the maintenance of two or more alleles at a locus by natural selection; genetic load is the proportion of individuals in a population with genetic defects.'
 'Gene pool is the diversity of genes in a population; balanced polymorphism is the dominance of a single gene; genetic load is the genetic capacity of an organism.'
 'Gene pool is the sum of all genetic variations in a closed environment; balanced polymorphism is the equal representation of all alleles in a population; genetic load is the accumulated genetic mutations in a population.'
 'Gene pool is the set of all genetic traits in a biological community; balanced polymorphism is when one allele is favored over others; genetic load is the genetic contribution of an organism to its offspring.']",Answer: C,2,,biology,stemez-Biology,C,"A:Gene pool is the total number of organisms in a population; balanced polymorphism is a genetic imbalance; genetic load is the genetic weight of an organism.
B:Gene pool refers to the physical pool where genes are stored; balanced polymorphism is the imbalance of allele frequencies; genetic load is the amount of genetic information carried by an organism.
C:Gene pool is the sum total of genes in a population; balanced polymorphism is when different forms of a genotype are maintained in equilibrium over time; genetic load is the reduction in average fitness due to presence of suboptimal forms.
D:Gene pool is the total genetic information in the gametes of a population; balanced polymorphism is the consistent occurrence of a single allele; genetic load is the genetic diversity within a species.
E:Gene pool is the collection of genes in a single organism; balanced polymorphism is the variation of a single gene; genetic load is the number of genes in an organism.
F:Gene pool refers to a single gene; balanced polymorphism refers to a dominance of one gene; genetic load refers to the genetic burden of an organism.
G:Gene pool is the total number of alleles in a population; balanced polymorphism is the maintenance of two or more alleles at a locus by natural selection; genetic load is the proportion of individuals in a population with genetic defects.
H:Gene pool is the diversity of genes in a population; balanced polymorphism is the dominance of a single gene; genetic load is the genetic capacity of an organism.
I:Gene pool is the sum of all genetic variations in a closed environment; balanced polymorphism is the equal representation of all alleles in a population; genetic load is the accumulated genetic mutations in a population.
J:Gene pool is the set of all genetic traits in a biological community; balanced polymorphism is when one allele is favored over others; genetic load is the genetic contribution of an organism to its offspring."
10755,"A ""strictly binary tree"" is a binary tree in which every node that is not a leaf has two children. Suppose that for a class of strictly binary trees there exists c > 0 such that, for any tree in the class, the ratio of the lengths of any two root-to-leaf paths is bounded above by c. Which of the following best characterizes the height h of any tree in this class, where N is the number of nodes in the tree and N > 1 ?","['h <= log2(N)' 'h = log2(cN)' 'h > c log2(N)' 'h < 1/c * log2(N)'
 'h < c log2(N)' 'h > log2(N)' 'h <= c log2(N)' 'h > log2(cN)'
 'h = c log2(N)' 'h = 1/c * log2(N)']",Answer: E,4,,computer science,ori_mmlu-college_computer_science,E,"A:h <= log2(N)
B:h = log2(cN)
C:h > c log2(N)
D:h < 1/c * log2(N)
E:h < c log2(N)
F:h > log2(N)
G:h <= c log2(N)
H:h > log2(cN)
I:h = c log2(N)
J:h = 1/c * log2(N)"
6403,Cells in the eye that respond to low levels of illumination are called,"['Retinal cells' 'Fovea cells' 'Photoreceptor cells' 'Macula cells'
 'Nocturnal detectors' 'Optic nerve cells' 'Cones' 'Rods' 'Sclera cells'
 'Pupil detectors']",Answer: H,7,,health,ori_mmlu-human_aging,H,"A:Retinal cells
B:Fovea cells
C:Photoreceptor cells
D:Macula cells
E:Nocturnal detectors
F:Optic nerve cells
G:Cones
H:Rods
I:Sclera cells
J:Pupil detectors"
1604,"An owner of an apartment building in a rundown section of town knew that one of his tenants was dealing drugs from his apartment. He also knew that the tenant's actions had led to some violent confrontations in the past, including one where a gun was discharged in the hallway outside the tenant's apartment. Because the tenant regularly paid his rent on time, the owner didn't take any action to try to evict the tenant. One day, a rival drug dealer drove by the tenant's apartment and fired his gun at the tenant's front window. One of the bullets passed through the tenant's living room and went through the wall into the apartment next door. The bullet struck and injured a neighbor who occupied the adjoining apartment. If the neighbor asserts a claim against the owner to recover damages for his injury, he should","[""not recover, because the owner can't be held responsible for the actions of his tenants.""
 ""recover, because the owner was aware that such danger existed because of the tenant's drug-dealing activities.""
 'not recover, because the neighbor is outside the zone of foreseeable danger.'
 ""not recover, because the owner is not directly involved in the tenant's illegal activities.""
 'not recover, because the owner cannot predict the actions of a rival drug dealer.'
 'not recover, because the owner is not liable for the criminal acts of third persons.'
 'recover, because the owner knew that the tenant was dealing drugs from his apartment.']",Answer: B,1,,law,ori_mmlu-professional_law,B,"A:not recover, because the owner can't be held responsible for the actions of his tenants.
B:recover, because the owner was aware that such danger existed because of the tenant's drug-dealing activities.
C:not recover, because the neighbor is outside the zone of foreseeable danger.
D:not recover, because the owner is not directly involved in the tenant's illegal activities.
E:not recover, because the owner cannot predict the actions of a rival drug dealer.
F:not recover, because the owner is not liable for the criminal acts of third persons.
G:recover, because the owner knew that the tenant was dealing drugs from his apartment."
1748,"A ceramics studio contracted with an artist to produce cups and saucers designed by the artist. The artist was an established designer of collectible ceramic dinnerware, and the studio did production work for many artists who created ceramic dinnerware. The price and quantity term of the contract read: ""2,000 sets of the cups and saucers at $5 each, payable on delivery."" The contract contained a merger clause. The studio produced the cups and saucers and delivered them along with a bill for $20,000 (4,000 pieces at $5 per piece). The artist refused to pay more than $10,000 (2,000 sets at $5 per set). At the trial of the studio's action against the artist for breach of contract, the studio introduced evidence of an established practice in the studio industry to price cup-and-saucer sets on a per-piece, not a per-set, basis. Is the studio's evidence admissible?","['No, because such evidence would vary an unambiguous term of the contract.'
 'No, because the evidence would contradict the explicit terms of the contract.'
 'Yes, because evidence of trade usage is always admissible.'
 'Yes, because the usage of trade is offered to give meaning to the contract.'
 'No, because the contract contained a merger clause which makes extrinsic evidence inadmissible.'
 ""Yes, because the studio's interpretation of the contract aligns with the industry practice.""
 'Yes, because the court should consider industry norms in interpreting the contract.'
 'No, because the agreement was completely integrated.'
 'No, because the artist was unaware of the industry practice.'
 'Yes, because the evidence of established industry practice may explain the ambiguity in the contract.']",Answer: D,3,,law,ori_mmlu-professional_law,D,"A:No, because such evidence would vary an unambiguous term of the contract.
B:No, because the evidence would contradict the explicit terms of the contract.
C:Yes, because evidence of trade usage is always admissible.
D:Yes, because the usage of trade is offered to give meaning to the contract.
E:No, because the contract contained a merger clause which makes extrinsic evidence inadmissible.
F:Yes, because the studio's interpretation of the contract aligns with the industry practice.
G:Yes, because the court should consider industry norms in interpreting the contract.
H:No, because the agreement was completely integrated.
I:No, because the artist was unaware of the industry practice.
J:Yes, because the evidence of established industry practice may explain the ambiguity in the contract."
